Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
0.0,laughter,laughter,8.5,0.93
1.0,happiness,happiness,8.44,0.97
2.0,love,love,8.42,1.11
3.0,happy,happy,8.3,0.99
4.0,laughed,laughed,8.26,1.16
5.0,laugh,laugh,8.22,1.37
6.0,laughing,laughing,8.2,1.11
7.0,excellent,excellent,8.18,1.1
8.0,laughs,laughs,8.18,1.16
9.0,joy,joy,8.16,1.06
10.0,successful,successful,8.16,1.08
11.0,win,win,8.12,1.08
12.0,rainbow,rainbow,8.1,0.99
13.0,smile,smile,8.1,1.02
14.0,won,won,8.1,1.22
15.0,pleasure,pleasure,8.08,0.97
16.0,smiled,smiled,8.08,1.07
17.0,rainbows,rainbows,8.06,1.36
18.0,winning,winning,8.04,1.05
19.0,celebration,celebration,8.02,1.53
20.0,enjoyed,enjoyed,8.02,1.53
21.0,healthy,healthy,8.02,1.06
22.0,music,music,8.02,1.12
23.0,celebrating,celebrating,8.0,1.14
24.0,congratulations,congratulations,8.0,1.63
25.0,weekend,weekend,8.0,1.29
26.0,celebrate,celebrate,7.98,1.15
27.0,comedy,comedy,7.98,1.15
28.0,jokes,jokes,7.98,0.98
29.0,rich,rich,7.98,1.32
30.0,victory,victory,7.98,1.08
31.0,christmas,christmas,7.96,1.29
32.0,free,free,6.2,1.17
33.0,friendship,friendship,7.96,1.12
34.0,fun,fun,7.96,1.31
35.0,holidays,holidays,7.96,1.26
36.0,loved,loved,7.96,1.16
37.0,loves,loves,7.96,1.37
38.0,loving,loving,7.96,1.01
39.0,beach,beach,7.94,1.06
40.0,hahaha,hahaha,7.94,1.56
41.0,kissing,kissing,7.94,1.13
42.0,sunshine,sunshine,7.94,1.17
43.0,beautiful,beautiful,7.92,1.18
44.0,delicious,delicious,7.92,1.26
45.0,friends,friends,7.92,1.19
46.0,funny,funny,7.92,1.05
47.0,outstanding,outstanding,7.92,1.14
48.0,paradise,paradise,7.92,1.4
49.0,sweetest,sweetest,7.92,1.29
50.0,vacation,vacation,7.92,1.9
51.0,butterflies,butterflies,7.92,1.08
52.0,freedom,freedom,7.9,1.42
53.0,flower,flower,7.88,1.17
54.0,great,great,7.88,1.21
55.0,sunlight,sunlight,7.88,1.49
56.0,sweetheart,sweetheart,7.88,1.27
57.0,sweetness,sweetness,7.88,1.19
58.0,award,award,7.86,1.57
59.0,chocolate,chocolate,7.86,1.03
60.0,hahahaha,hahahaha,7.86,1.7
61.0,heaven,heaven,7.86,1.58
62.0,peace,peace,7.86,1.34
63.0,splendid,splendid,7.86,1.46
64.0,success,success,7.86,1.64
65.0,enjoying,enjoying,7.84,1.5
66.0,kissed,kissed,7.84,1.5
67.0,attraction,attraction,7.82,1.02
68.0,celebrated,celebrated,7.8,1.18
69.0,hero,hero,7.8,1.4
70.0,hugs,hugs,7.8,1.44
71.0,positive,positive,5.6,0.8
72.0,sun,sun,7.8,1.36
73.0,birthday,birthday,7.78,1.91
74.0,blessed,blessed,7.78,1.28
75.0,fantastic,fantastic,7.78,1.09
76.0,winner,winner,7.78,1.69
77.0,delight,delight,7.78,1.42
78.0,beauty,beauty,7.76,1.61
79.0,butterfly,butterfly,7.76,1.33
80.0,entertainment,entertainment,7.76,1.22
81.0,funniest,funniest,7.76,1.56
82.0,honesty,honesty,7.76,1.27
83.0,sky,sky,7.76,1.08
84.0,smiles,smiles,7.76,1.79
85.0,succeed,succeed,7.76,1.7
86.0,wonderful,wonderful,7.76,1.79
87.0,glorious,glorious,7.74,1.4
88.0,kisses,kisses,7.74,1.19
89.0,promotion,promotion,7.74,1.38
90.0,family,family,6.0,1.26
91.0,gift,gift,7.72,1.34
92.0,humor,humor,7.72,1.09
93.0,romantic,romantic,7.72,1.2
94.0,cupcakes,cupcakes,7.7,1.23
95.0,festival,festival,7.7,1.07
96.0,hahahahaha,hahahahaha,7.7,1.36
97.0,honour,honour,7.7,1.25
98.0,relax,relax,7.7,1.07
99.0,weekends,weekends,7.7,1.79
100.0,angel,angel,7.68,1.24
101.0,b-day,b-day,7.68,1.53
102.0,bonus,bonus,7.68,1.46
103.0,brilliant,brilliant,7.68,1.62
104.0,diamonds,diamonds,7.68,1.48
105.0,holiday,holiday,7.68,1.3
106.0,lucky,lucky,7.68,1.27
107.0,mother,mother,7.68,1.67
108.0,super,super,7.68,1.6
109.0,amazing,amazing,7.66,1.49
110.0,angels,angels,7.66,1.47
111.0,enjoy,enjoy,7.66,1.47
112.0,friend,friend,7.66,1.51
113.0,friendly,friendly,7.66,1.55
114.0,mother's,mother's,7.66,1.29
115.0,profit,profit,7.66,1.24
116.0,finest,finest,7.66,1.39
117.0,bday,bday,7.64,1.68
118.0,champion,champion,7.64,1.22
119.0,grandmother,grandmother,7.64,1.35
120.0,haha,haha,7.64,1.38
121.0,kiss,kiss,7.64,1.76
122.0,kitten,kitten,7.64,1.29
123.0,miracle,miracle,7.64,1.89
124.0,mom,mom,7.64,1.87
125.0,sweet,sweet,7.64,1.06
126.0,blessings,blessings,7.62,1.63
127.0,bright,bright,7.62,1.14
128.0,cutest,cutest,7.62,1.09
129.0,entertaining,entertaining,7.62,1.09
130.0,excited,excited,7.62,1.4
